İŞLEM NO;TARİH;KATEGORİ;TUTAR
50;5.01.2019;Bisküvi;200.25
74;8.01.2019;Makarna;510.50
31;20.01.2019;İçecek;350.35
31;20.01.2019;Meyve;300.00
31;20.01.2019;Süt Ürünleri;530.50
78;5.02.2019;Meyve;1560
34;6.02.2019;Bisküvi;184
35;10.02.2019;Makarna;127
71;16.02.2019;Makarna;736
91;16.02.2019;Bisküvi;226
36;23.02.2019;Kuruyemiş;1930
81;25.02.2019;İçecek;105
80;5.03.2019;Meyve;1100
37;6.03.2019;Bakliyat;680
51;11.03.2019;Bakliyat;533.75
51;11.03.2019;Kuruyemiş;289.50
51;11.03.2019;Makarna;552
88;12.03.2019;İçecek;270
88;12.03.2019;Makarna;1160
46;5.04.2019;Makarna;1950
46;5.04.2019;Süt Ürünleri;1740
45;7.04.2019;Kuruyemiş;482.50
45;7.04.2019;Makarna;920
47;8.04.2019;Meyve;4200
55;26.04.2019;Meyve;1218
87;26.04.2019;İçecek;150
87;26.04.2019;Meyve;250
87;26.04.2019;Süt Ürünleri;530
70;29.04.2019;Bakliyat;800
33;30.04.2019;Bisküvi;276
60;30.04.2019;Süt Ürünleri;1392
90;30.04.2019;Bisküvi;345
56;3.05.2019;Makarna;127.50
95;10.05.2019;Makarna;127.50
39;22.05.2019;Makarna;1275
67;24.05.2019;Kuruyemiş;200
67;24.05.2019;Meyve;52.50
73;5.06.2019;Kuruyemiş;96.50
75;5.06.2019;Makarna;510
76;5.06.2019;Kuruyemiş;660
79;23.06.2019;İçecek;1.590
79;23.06.2019;Meyve;600
63;25.06.2019;Bakliyat;120
63;25.06.2019;Süt Ürünleri;500
40;24.07.2019;Bakliyat;598
30;15.08.2019;Makarna;1000
30;15.08.2019;Meyve;90
48;15.09.2019;Bakliyat;1000
48;15.09.2019;Bisküvi;230
72;18.09.2019;Süt Ürünleri;230
58;22.09.2019;Makarna;280
58;22.09.2019;Süt Ürünleri;3240.85
32;22.10.2019;İçecek;270.25
32;22.10.2019;Makarna;920.55
77;25.10.2019;Bakliyat;2250
38;10.11.2019;Makarna;1380
42;12.12.2019;Bakliyat;220
42;12.12.2019;Bisküvi;92
42;12.12.2019;Kuruyemiş;250
